adm2_pcode,adm2_name,adm1_name,COUNT_OBJECTID,population,Rainfall_mm,Temperature_C,Cum_Incidence_100k
LR0101,Dowein,Bomi,0,28371.0,268.69770727157595,25.473514109347445,0.0
LR0102,Klay,Bomi,20,25720.0,257.8620299159745,25.473514109347445,77.76049766718506
LR0103,Senjeh,Bomi,45,52740.0,256.13962752219527,25.473514109347445,85.32423208191126
LR0104,Suehn Mecca,Bomi,2,16219.0,241.57478241420085,25.473514109347445,12.331216474505208
LR0201,Boinsen,Bong,40,17254.0,174.39570723050906,25.473514109347445,231.8303002202388
LR0202,Fuamah,Bong,0,35055.0,207.60761118763023,25.473514109347445,0.0
LR0203,Jorquelleh,Bong,55,145235.0,168.03635451709383,25.473514109347445,37.86965951733397
LR0204,Kokoyah,Bong,7,4012.0,190.3563041628143,25.473514109347445,174.4765702891326
LR0205,Kpaai,Bong,3,29806.0,171.45156662426297,25.473514109347445,10.065087566261827
LR0206,Panta,Bong,0,19853.0,175.95982479138507,25.473514109347445,0.0
LR0207,Salala,Bong,2,52928.0,199.67625181684417,25.473514109347445,3.7787182587666264
LR0208,Sanoyeah,Bong,1,39467.0,187.01721684068266,25.473514109347445,2.5337623837636505
LR0209,Suakoko,Bong,39,44930.0,163.83544639861526,25.473514109347445,86.80169152014244
LR0210,Tukpahblee,Bong,9,13120.0,178.49155297765026,25.473514109347445,68.59756097560975
LR0211,Yeallequelleh,Bong,3,43695.0,171.7161846143228,25.473514109347445,6.865774116031583
LR0212,Zota,Bong,20,22206.0,183.76285071425968,25.473514109347445,90.0657479960371
LR0301,Belleh,Gbarpolu,0,15214.0,196.81233087258462,25.473514109347445,0.0
LR0302,Bokomu,Gbarpolu,3,13684.0,195.10044859581524,25.473514109347445,21.923414206372406
LR0303,Bopolu,Gbarpolu,49,23758.0,215.25653854564382,25.473514109347445,206.24631703005304
LR0304,Gbarma,Gbarpolu,1,13845.0,224.82314438290067,25.473514109347445,7.222824124232575
LR0305,Gounwolaila,Gbarpolu,0,17986.0,182.81869490820952,25.473514109347445,0.0
LR0306,Kongba,Gbarpolu,0,11508.0,210.31354115068777,25.473514109347445,0.0
LR0401,Commonwealth 2,Grand Bassa,35,35740.0,219.3694833969576,25.473514109347445,97.929490766648
LR0402,District #1,Grand Bassa,0,30223.0,233.89662497434003,25.473514109347445,0.0
LR0403,District #2,Grand Bassa,0,32565.0,207.82354045522234,25.473514109347445,0.0
LR0404,District #3,Grand Bassa,53,62421.0,199.6379131286352,25.473514109347445,84.9073228560901
LR0405,District #4,Grand Bassa,1,41162.0,227.09457503123718,25.473514109347445,2.4294251979981536
LR0406,Neekreen,Grand Bassa,21,62883.0,225.35668480318355,25.473514109347445,33.395353275130006
LR0407,Owensgrove,Grand Bassa,3,14422.0,228.13077353106604,25.473514109347445,20.801553182637637
LR0408,St. John River City,Grand Bassa,0,14273.0,227.2108251536334,25.473514109347445,0.0
LR0501,Commonwealth,Grand Cape Mount,28,14057.0,294.73123708477726,25.473514109347445,199.18901614853812
LR0502,Garwula,Grand Cape Mount,0,33403.0,286.02620633545087,25.473514109347445,0.0
LR0503,Golakonneh,Grand Cape Mount,43,45798.0,244.2111006829474,25.473514109347445,93.89056290667715
LR0504,Porkpa,Grand Cape Mount,0,51131.0,240.83023223551834,25.473514109347445,0.0
LR0505,Tewor,Grand Cape Mount,0,34478.0,286.2035807900959,25.473514109347445,0.0
LR0601,B'hai,Grand Gedeh,13,13013.0,166.4870106950838,25.473514109347445,99.9000999000999
LR0602,Cavala,Grand Gedeh,24,34960.0,162.73791381096908,25.473514109347445,68.64988558352402
LR0603,Gbao,Grand Gedeh,2,19211.0,177.33899912771307,25.473514109347445,10.410702201863517
LR0604,Gboe-Ploe,Grand Gedeh,0,6464.0,191.57933508988583,25.473514109347445,0.0
LR0605,Glio-Twarbo,Grand Gedeh,0,6659.0,160.8235464700754,25.473514109347445,0.0
LR0606,Konobo,Grand Gedeh,0,26588.0,158.74958757384516,25.473514109347445,0.0
LR0607,Putu,Grand Gedeh,0,34026.0,190.284698487085,25.473514109347445,0.0
LR0608,Tchien,Grand Gedeh,24,75771.0,161.85339018491783,25.473514109347445,31.674387298570693
LR0701,Barclayville,Grand Kru,8,12619.0,238.3981447157517,25.473514109347445,63.39646564704018
LR0702,Bleebo,Grand Kru,0,2820.0,245.26989339899131,25.473514109347445,0.0
LR0703,Bolloh,Grand Kru,0,1755.0,249.2352520359887,25.473514109347445,0.0
LR0704,Buah,Grand Kru,1,2903.0,238.39954699999018,25.473514109347445,34.44712366517396
LR0705,Dorbor,Grand Kru,0,8167.0,241.57549123410823,25.473514109347445,0.0
LR0706,Dweh,Grand Kru,0,3966.0,232.89301941129895,25.473514109347445,0.0
LR0707,Felo-Jekwi,Grand Kru,1,3903.0,236.30784885971636,25.473514109347445,25.621316935690494
LR0708,Fenetoe,Grand Kru,0,2236.0,247.75190681881375,25.473514109347445,0.0
LR0709,Forpoh,Grand Kru,0,4970.0,231.4141904513041,25.473514109347445,0.0
LR0710,Garraway,Grand Kru,2,17000.0,243.60196872405064,25.473514109347445,11.764705882352942
LR0711,Gee,Grand Kru,0,5328.0,237.41554911931357,25.473514109347445,0.0
LR0712,Grand Cess Wedabo,Grand Kru,0,18011.0,238.24872630084005,25.473514109347445,0.0
LR0713,Kpi,Grand Kru,0,1367.0,236.08170424567328,25.473514109347445,0.0
LR0714,Lower Jloh,Grand Kru,0,3639.0,250.57991796884778,25.473514109347445,0.0
LR0715,Nrokwia-Wesldow,Grand Kru,0,2873.0,246.50735550456577,25.473514109347445,0.0
LR0716,Trenbo,Grand Kru,14,9182.0,246.32108913233253,25.473514109347445,152.47222827270747
LR0717,Upper Jloh,Grand Kru,0,3746.0,245.95700375239053,25.473514109347445,0.0
LR0718,Wlogba,Grand Kru,0,2029.0,232.8003230271516,25.473514109347445,0.0
LR0801,Foya,Lofa,44,46894.0,185.85235717982957,25.473514109347445,93.82863479336376
LR0802,Kolahun,Lofa,8,29603.0,200.72861439100018,25.473514109347445,27.02428807891092
LR0803,Quardu Boundi,Lofa,9,22844.0,194.6889861352516,25.473514109347445,39.39765365084924
LR0804,Salayea,Lofa,4,28960.0,191.48980551853512,25.473514109347445,13.812154696132598
LR0805,Vahun,Lofa,2,27921.0,198.92298359341092,25.473514109347445,7.16306722538591
LR0806,Voinjama,Lofa,39,61308.0,201.08262815905945,25.473514109347445,63.61323155216285
LR0807,Zorzor,Lofa,20,50681.0,190.23255809546802,25.473514109347445,39.46252047118249
LR0901,Firestone,Margibi,65,127939.0,246.78790968183486,25.473514109347445,50.80546197797388
LR0902,Gibi,Margibi,0,15380.0,205.97183715251452,25.473514109347445,0.0
LR0903,Kakata,Margibi,73,123840.0,214.76925032512816,25.473514109347445,58.94702842377261
LR0904,Mambah Kaba,Margibi,277,37787.0,241.5426736609646,25.473514109347445,733.0563421282452
LR1001,Gwelekpoken,Maryland,0,4366.0,240.13867073294557,25.473514109347445,0.0
LR1002,Harper,Maryland,145,53091.0,214.2812695812296,25.473514109347445,273.115970691831
LR1003,Karluway #1,Maryland,3,7391.0,247.00706077505043,25.473514109347445,40.58990664321472
LR1004,Karluway #2,Maryland,1,11370.0,234.13483277578203,25.473514109347445,8.795074758135444
LR1005,Nyorken,Maryland,2,6658.0,232.86969155357,25.473514109347445,30.039050765995796
LR1006,Pleebo/Sodoken,Maryland,205,85287.0,232.19272108872732,25.473514109347445,240.3648856214898
LR1007,Whojah,Maryland,0,4424.0,238.94117585155698,25.473514109347445,0.0
LR1101,Careysburg,Montserrado,32,55284.0,255.7308182215985,25.473514109347445,57.882931770494174
LR1102,Commonwealth 1,Montserrado,123,138984.0,278.0608078197197,25.473514109347445,88.4993956138836
LR1103,Greater Monrovia,Montserrado,5621,1504952.0,305.6201825974479,25.473514109347445,373.5002843944524
LR1104,St. Paul River,Montserrado,277,172384.0,268.6319697183721,25.473514109347445,160.687766846111
LR1105,Todee,Montserrado,3,49361.0,239.83905576277468,25.473514109347445,6.077672656550718
LR1201,Boe & Quilla,Nimba,0,20743.0,162.13610155101665,25.473514109347445,0.0
LR1202,Buu-Yao,Nimba,30,51832.0,157.0597145292494,25.473514109347445,57.87930236147554
LR1203,Doe,Nimba,23,45532.0,159.39473076952183,25.473514109347445,50.51392427303874
LR1204,Garr-Bain,Nimba,72,111796.0,169.74327819435683,25.473514109347445,64.40301978603885
LR1205,Gbehlay-Geh,Nimba,131,50450.0,171.40213699407047,25.473514109347445,259.6630327056492
LR1206,Gbi & Doru,Nimba,0,8118.0,184.48135943725856,25.473514109347445,0.0
LR1207,Gbor,Nimba,0,10680.0,170.80917828612857,25.473514109347445,0.0
LR1208,Kparblee,Nimba,4,16958.0,154.6444785908015,25.473514109347445,23.587687227267367
LR1209,Leewehpea-Mahn,Nimba,8,27207.0,169.76601682768927,25.473514109347445,29.404197449185872
LR1210,Meinpea-Mahn,Nimba,0,29313.0,168.6648866871129,25.473514109347445,0.0
LR1211,Sanniquellie Mahn,Nimba,15,47129.0,183.59058702381606,25.473514109347445,31.827537185172613
LR1212,Twan River,Nimba,1,45713.0,165.53486114872828,25.473514109347445,2.187561525167895
LR1213,Wee-Gbehyi-Mahn,Nimba,11,45028.0,170.0962353653378,25.473514109347445,24.429244025939415
LR1214,Yarmein,Nimba,55,33523.0,164.99855397733643,25.473514109347445,164.06646183217492
LR1215,Yarpea Mahn,Nimba,0,14113.0,177.33964470360013,25.473514109347445,0.0
LR1216,Yarwein Mehnsonnoh,Nimba,2,25350.0,168.67751577392457,25.473514109347445,7.889546351084812
