adm2_pcode,adm2_name,adm1_name,Year,Month,COUNT_OBJECTID,Incidence_100k,Rainfall_mm,Temperature_C,Outbreak_Probability,Risk_Level
LR0101,Dowein,Bomi,2020,3,0,0.0,107.76601333618164,27.498283004760747,4.039246e-05,Low Risk
LR0101,Dowein,Bomi,2020,4,0,0.0,203.5109802246094,27.55246505737305,0.00020818361,High Risk
LR0101,Dowein,Bomi,2020,5,0,0.0,318.2847198486328,27.30362911224365,0.0005702665,High Risk
LR0101,Dowein,Bomi,2020,6,0,0.0,548.838702392578,26.21584815979004,0.003775668,High Risk
LR0101,Dowein,Bomi,2020,7,0,0.0,640.2675415039062,25.113558197021483,0.0039592963,High Risk
LR0101,Dowein,Bomi,2020,8,0,0.0,384.0191223144532,24.655789756774904,0.0010238074,High Risk
LR0101,Dowein,Bomi,2020,9,0,0.0,430.18207397460935,25.347360038757323,0.00017665635,Moderate Risk
LR0101,Dowein,Bomi,2020,10,0,0.0,322.4762817382813,26.109194946289065,4.4011846e-05,Moderate Risk
LR0101,Dowein,Bomi,2020,11,0,0.0,142.8794937133789,26.3536283493042,4.971288e-05,Moderate Risk
LR0101,Dowein,Bomi,2020,12,0,0.0,80.07858047485352,26.57247295379639,3.8831997e-05,Low Risk
LR0101,Dowein,Bomi,2021,1,0,0.0,33.20594024658203,26.697594261169435,5.7395475e-05,Moderate Risk
LR0101,Dowein,Bomi,2021,2,0,0.0,92.72333908081056,27.14889030456543,1.51577e-05,Low Risk
LR0101,Dowein,Bomi,2021,3,0,0.0,109.46747055053712,26.775195884704587,2.1959855e-05,Low Risk
LR0101,Dowein,Bomi,2021,4,0,0.0,137.4008499145508,27.28270435333252,5.871633e-05,Moderate Risk
LR0101,Dowein,Bomi,2021,5,0,0.0,309.1953521728516,27.04913349151612,0.000286472,High Risk
LR0101,Dowein,Bomi,2021,6,0,0.0,666.7266967773437,26.293019104003907,0.0038526743,High Risk
LR0101,Dowein,Bomi,2021,7,0,0.0,600.7725402832032,25.39944515228272,0.0038793117,High Risk
LR0101,Dowein,Bomi,2021,8,0,0.0,539.2371215820312,25.293534278869632,0.0003988065,High Risk
LR0101,Dowein,Bomi,2021,9,0,0.0,507.22816772460936,25.62104110717773,0.000109162334,Moderate Risk
LR0101,Dowein,Bomi,2021,10,0,0.0,355.09263000488284,26.40881004333496,6.059059e-05,Moderate Risk
LR0101,Dowein,Bomi,2021,11,0,0.0,135.08342971801758,26.587405014038083,9.693592e-05,Moderate Risk
LR0101,Dowein,Bomi,2021,12,0,0.0,43.96623764038086,26.929655265808105,0.00015448383,Moderate Risk
LR0101,Dowein,Bomi,2022,1,0,0.0,16.18411931991577,26.459982109069827,0.00027889488,High Risk
LR0101,Dowein,Bomi,2022,2,0,0.0,49.58730964660644,27.00644626617432,4.0037758e-05,Low Risk
LR0101,Dowein,Bomi,2022,3,0,0.0,68.43909072875977,26.81663990020752,3.3955806e-05,Low Risk
LR0101,Dowein,Bomi,2022,4,0,0.0,138.19885635375977,27.0240125656128,2.2031762e-05,Low Risk
LR0101,Dowein,Bomi,2022,5,0,0.0,238.08691558837893,26.88515491485596,0.00021985231,High Risk
LR0101,Dowein,Bomi,2022,6,0,0.0,652.1117492675781,26.143310356140137,0.0032396442,High Risk
LR0101,Dowein,Bomi,2022,7,0,0.0,282.5908569335937,25.12741394042969,0.0013690967,High Risk
LR0101,Dowein,Bomi,2022,8,0,0.0,477.3987426757813,24.808968544006348,0.00051495293,High Risk
LR0101,Dowein,Bomi,2022,9,0,0.0,476.5153564453125,25.188893699645995,0.00019132566,Moderate Risk
LR0101,Dowein,Bomi,2022,10,0,0.0,363.5664428710937,25.960292434692384,2.8720233e-05,Low Risk
LR0101,Dowein,Bomi,2022,11,0,0.0,107.84282073974607,26.0933177947998,2.5702288e-05,Low Risk
LR0101,Dowein,Bomi,2022,12,0,0.0,51.69172058105469,26.294113731384275,6.535966e-05,Moderate Risk
LR0101,Dowein,Bomi,2023,1,0,0.0,15.630122661590576,26.24843902587891,0.00039508694,High Risk
LR0101,Dowein,Bomi,2023,2,0,0.0,26.870072746276858,26.94217433929444,0.00014527087,Moderate Risk
LR0102,Klay,Bomi,2020,3,0,0.0,118.66286129421658,27.272518591447312,1.6349912e-05,Low Risk
LR0102,Klay,Bomi,2020,4,0,0.0,213.54928080240884,27.30035331032493,6.651014e-05,Moderate Risk
LR0102,Klay,Bomi,2020,5,0,0.0,286.5963007609049,27.013154550032176,0.00021677748,High Risk
LR0102,Klay,Bomi,2020,6,0,0.0,493.4141845703125,25.92153393138539,0.0012205616,High Risk
LR0102,Klay,Bomi,2020,7,0,0.0,592.3511081271702,24.77562548897484,0.0016197214,High Risk
LR0102,Klay,Bomi,2020,8,0,0.0,396.8766564263238,24.314626693725582,0.000477316,High Risk
LR0102,Klay,Bomi,2020,9,0,0.0,423.7085215250651,25.08628819205544,9.922707e-05,Moderate Risk
LR0102,Klay,Bomi,2020,10,0,0.0,318.4538658989801,25.851663416082207,2.0160258e-05,Low Risk
LR0102,Klay,Bomi,2020,11,0,0.0,139.37685097588434,26.0763712796298,2.459411e-05,Low Risk
LR0102,Klay,Bomi,2020,12,1,3.888024883359253,74.47644593980579,26.301030158996586,1.656845e-05,Low Risk
LR0102,Klay,Bomi,2021,1,0,0.0,35.10210673014322,26.35371459614147,4.502514e-05,Moderate Risk
LR0102,Klay,Bomi,2021,2,0,0.0,98.67967224121094,26.89495051990857,1.40194925e-05,Low Risk
LR0102,Klay,Bomi,2021,3,0,0.0,118.82300016615126,26.578105059537016,2.0288151e-05,Low Risk
LR0102,Klay,Bomi,2021,4,0,0.0,156.84432644314234,27.05539460615678,3.3765293e-05,Low Risk
LR0102,Klay,Bomi,2021,5,0,0.0,309.40731641981336,26.7750301361084,0.00018937746,Moderate Risk
LR0102,Klay,Bomi,2021,6,4,15.552099533437012,604.9657016330295,25.98936254327948,0.002518793,High Risk
LR0102,Klay,Bomi,2021,7,15,58.320373250388805,510.2865329318576,25.06393302570689,0.99459994,High Risk
LR0102,Klay,Bomi,2021,8,0,0.0,559.9732462565105,24.93243139440364,0.022547694,High Risk
LR0102,Klay,Bomi,2021,9,0,0.0,483.8579491509331,25.342227155512035,0.22506343,High Risk
LR0102,Klay,Bomi,2021,10,0,0.0,331.30511135525177,26.132978179238066,4.682276e-05,Moderate Risk
LR0102,Klay,Bomi,2021,11,0,0.0,144.87941148546005,26.309316288341176,3.8127277e-05,Low Risk
LR0102,Klay,Bomi,2021,12,0,0.0,45.02066548665364,26.599636077880863,9.874154e-05,Moderate Risk
LR0102,Klay,Bomi,2022,1,0,0.0,13.202509986029732,25.958931142633613,0.00035860806,High Risk
LR0102,Klay,Bomi,2022,2,0,0.0,52.14772669474285,26.716475400057707,2.415291e-05,Low Risk
LR0102,Klay,Bomi,2022,3,0,0.0,77.01539866129558,26.64087260853161,1.07412725e-05,Low Risk
LR0102,Klay,Bomi,2022,4,0,0.0,147.7608108520508,26.78585329922763,1.7371805e-05,Low Risk
LR0102,Klay,Bomi,2022,5,0,0.0,215.32240210639105,26.589369773864743,0.000110030895,Moderate Risk
LR0102,Klay,Bomi,2022,6,0,0.0,583.4894070095486,25.82534807378596,0.0018048786,High Risk
LR0102,Klay,Bomi,2022,7,0,0.0,265.22674475775824,24.78685075586493,0.0013778867,High Risk
LR0102,Klay,Bomi,2022,8,0,0.0,477.5886806911893,24.4763332713734,0.00017651053,Moderate Risk
LR0102,Klay,Bomi,2022,9,0,0.0,436.2420010036892,24.88870377974077,0.00017849344,Moderate Risk
LR0102,Klay,Bomi,2022,10,0,0.0,339.2154897054036,25.71622276306153,1.747344e-05,Low Risk
LR0102,Klay,Bomi,2022,11,0,0.0,121.42214457194012,25.80573359402744,1.35958635e-05,Low Risk
LR0102,Klay,Bomi,2022,12,0,0.0,50.79387834337022,25.91795149716464,2.735173e-05,Low Risk
LR0102,Klay,Bomi,2023,1,0,0.0,17.38177400165134,25.858906832608305,0.00012560791,Moderate Risk
LR0102,Klay,Bomi,2023,2,0,0.0,29.612991968790688,26.80546725880016,8.161795e-05,Moderate Risk
LR0103,Senjeh,Bomi,2020,3,0,0.0,109.22759929456208,27.058963298797607,1.4933183e-05,Low Risk
LR0103,Senjeh,Bomi,2020,4,0,0.0,217.63165524131367,27.07870137691497,9.3735165e-05,Moderate Risk
LR0103,Senjeh,Bomi,2020,5,0,0.0,286.19326220060657,26.8008555173874,0.00034735276,High Risk
LR0103,Senjeh,Bomi,2020,6,4,7.584376185058778,471.9056460731909,25.760556578636173,0.001558674,High Risk
LR0103,Senjeh,Bomi,2020,7,10,18.960940462646946,616.7783203125,24.587926030159,0.9881791,High Risk
LR0103,Senjeh,Bomi,2020,8,5,9.480470231323473,411.06865330746297,24.13565135002136,0.99096984,High Risk
LR0103,Senjeh,Bomi,2020,9,1,1.8960940462646945,438.4501535516037,24.94563615322113,0.08474543,High Risk
LR0103,Senjeh,Bomi,2020,10,1,1.8960940462646945,319.56648655941615,25.70031464099884,0.0016432898,High Risk
LR0103,Senjeh,Bomi,2020,11,0,0.0,139.11857002659846,25.919176220893863,2.702254e-05,Low Risk
LR0103,Senjeh,Bomi,2020,12,1,1.8960940462646945,71.5517658434416,26.10655212402344,2.5560956e-05,Low Risk
LR0103,Senjeh,Bomi,2021,1,0,0.0,33.676398427862864,26.06908524036407,4.6765286e-05,Moderate Risk
LR0103,Senjeh,Bomi,2021,2,0,0.0,84.1231834010074,26.63058578968048,1.4212018e-05,Low Risk
LR0103,Senjeh,Bomi,2021,3,0,0.0,108.3786062943308,26.4068615436554,1.2122173e-05,Low Risk
LR0103,Senjeh,Bomi,2021,4,0,0.0,161.4141412032278,26.90305876731873,7.743917e-05,Moderate Risk
LR0103,Senjeh,Bomi,2021,5,0,0.0,296.3422417891653,26.62605845928192,0.0002920453,High Risk
LR0103,Senjeh,Bomi,2021,6,16,30.33750474023511,578.8824848375822,25.823979854583737,0.99862456,High Risk
LR0103,Senjeh,Bomi,2021,7,3,5.688282138794084,534.2719260767888,24.879486441612247,0.412774,High Risk
LR0103,Senjeh,Bomi,2021,8,0,0.0,546.4057520816201,24.71854555606842,0.12797832,High Risk
LR0103,Senjeh,Bomi,2021,9,0,0.0,479.02951692280016,25.186173200607296,0.00019103782,Moderate Risk
LR0103,Senjeh,Bomi,2021,10,0,0.0,307.8463150827508,25.983590960502628,3.5852478e-05,Low Risk
LR0103,Senjeh,Bomi,2021,11,0,0.0,154.5657147859272,26.14218032360077,3.5832585e-05,Low Risk
LR0103,Senjeh,Bomi,2021,12,1,1.8960940462646945,43.33837308381733,26.37815880775452,0.00012745413,Moderate Risk
LR0103,Senjeh,Bomi,2022,1,1,1.8960940462646945,12.262678045975534,25.574889540672302,0.0006348496,High Risk
LR0103,Senjeh,Bomi,2022,2,1,1.8960940462646945,50.71796196385434,26.40757250785828,1.68079e-05,Low Risk
LR0103,Senjeh,Bomi,2022,3,0,0.0,79.72797674881785,26.454888105392456,1.3291677e-05,Low Risk
LR0103,Senjeh,Bomi,2022,4,0,0.0,144.04774796335326,26.597519397735592,2.0581592e-05,Low Risk
LR0103,Senjeh,Bomi,2022,5,0,0.0,206.907156693308,26.426079392433167,0.00016097089,Moderate Risk
LR0103,Senjeh,Bomi,2022,6,0,0.0,584.4246119449014,25.654345512390137,0.003409976,High Risk
LR0103,Senjeh,Bomi,2022,7,0,0.0,295.45028284976354,24.59136247634888,0.0033892856,High Risk
LR0103,Senjeh,Bomi,2022,8,0,0.0,470.29373008326473,24.28824257850647,0.00030108792,High Risk
LR0103,Senjeh,Bomi,2022,9,1,1.8960940462646945,412.35163156609786,24.72566092014313,7.3744835e-05,Moderate Risk
LR0103,Senjeh,Bomi,2022,10,0,0.0,338.08269781815386,25.572065114974976,5.9512982e-05,Moderate Risk
LR0103,Senjeh,Bomi,2022,11,0,0.0,123.55479029605264,25.62883222103119,1.884691e-05,Low Risk
LR0103,Senjeh,Bomi,2022,12,0,0.0,51.87922307064659,25.6802853345871,4.3815817e-05,Moderate Risk
LR0103,Senjeh,Bomi,2023,1,0,0.0,15.977540016174316,25.519930720329285,0.00013324621,Moderate Risk
LR0103,Senjeh,Bomi,2023,2,0,0.0,25.58179534109016,26.580374360084537,8.7649394e-05,Moderate Risk
LR0104,Suehn Mecca,Bomi,2020,3,0,0.0,140.96720928615994,27.18388720921108,1.7209912e-05,Low Risk
